,householdID,est_inc_USD,est_netw_USD,hhold_field,hhold_oldest,hhold_pax,hhold_youngest,homeState,hhold_car,stream_subs,primary
1282,1283,60584.0,395885.0,Services,47,3,17,New Hampshire,SUV,5,entertain
1283,1284,45769.0,419777.0,Govt,45,5,14,New York,SUV,6,consume
1284,1285,68901.0,400075.0,Education,39,5,14,Maine,SUV,6,entertain
1285,1286,131073.0,539740.0,Finance,56,5,8,Maine,SUV,2,consume
1286,1287,93461.0,473164.0,Tech,43,5,10,Maine,SUV,4,entertain
1287,1288,69375.0,485930.0,Govt,47,3,13,Quebec,LuxurySedan,3,entertain
1288,1289,48064.0,310326.0,Finance,49,3,18,Quebec,Pickup,0,consume
1289,1290,137275.0,454921.0,Finance,51,6,11,Can_Other,LuxurySedan,4,consume
1290,1291,123875.0,454414.0,Manufacturing,58,1,58,New Hampshire,SUV,4,consume
1291,1292,71889.0,429394.0,Govt,53,7,10,New York,LuxurySedan,6,consume
1292,1293,155950.0,700625.0,Finance,52,5,9,New Hampshire,LuxurySedan,5,entertain
1293,1294,97248.0,492711.0,Tech,60,3,12,Massachusetts,LuxurySedan,4,consume
1294,1295,109463.0,481112.0,Tech,42,1,42,Maine,LuxurySedan,3,entertain
1295,1296,101583.0,531023.0,Services,45,4,17,Maine,SUV,3,consume
1296,1297,77535.0,490595.0,Services,46,5,17,New Hampshire,Sedan,7,consume
1297,1298,95435.0,482993.0,Finance,41,4,15,Vermont,Sedan,4,entertain
1298,1299,46648.0,390303.0,Education,53,3,13,Ontario,SUV,6,consume
1299,1300,86710.0,479167.0,Services,48,4,12,Connecticut,SUV,6,consume
1300,1301,100228.0,441745.0,Finance,47,2,12,Maine,SUV,4,consume
1301,1302,95043.0,460964.0,Education,36,10,9,Maine,LuxurySedan,9,entertain
1302,1303,127311.0,538838.0,Finance,41,5,17,Maine,SUV,5,consume
1303,1304,78112.0,460081.0,Education,52,4,14,New York,SUV,7,entertain
1304,1305,70812.0,444914.0,Govt,49,4,5,Vermont,LuxurySedan,3,consume
1305,1306,131812.0,616296.0,Govt,43,4,20,Vermont,,2,entertain
1306,1307,70888.0,449808.0,Govt,51,3,10,Ontario,SUV,2,consume
1307,1308,124871.0,535144.0,Finance,46,6,17,Vermont,SUV,7,entertain
1308,1309,84022.0,378301.0,Govt,37,4,10,Quebec,SUV,4,consume
1309,1310,105757.0,505977.0,Govt,38,6,9,Massachusetts,LuxurySedan,5,entertain
1310,1311,128965.0,489485.0,Services,40,5,8,Connecticut,SUV,3,consume
1311,1312,81182.0,400241.0,Education,46,5,14,New Hampshire,LuxurySedan,4,entertain
1312,1313,66297.0,455859.0,Govt,40,5,20,Quebec,LuxurySedan,4,consume
1313,1314,91695.0,507829.0,Govt,55,3,11,Rhode Island,SUV,7,consume
1314,1315,138972.0,574250.0,Tech,51,7,5,Maine,,3,consume
1315,1316,95733.0,438477.0,Other,38,3,14,US_Other,SUV,4,entertain
1316,1317,78855.0,430354.0,Govt,42,2,11,Maine,,3,entertain
1317,1318,122542.0,443180.0,Finance,46,3,18,Can_Other,LuxurySedan,11,consume
1318,1319,87572.0,427628.0,Services,45,4,15,US_Other,LuxurySedan,5,entertain
1319,1320,99630.0,503436.0,Govt,43,5,18,Maine,SUV,4,entertain
1320,1321,92534.0,476369.0,Services,43,3,15,New York,SUV,5,entertain
1321,1322,142716.0,569317.0,Finance,42,4,9,Maine,Sedan,5,entertain
1322,1323,51065.0,426684.0,Govt,50,2,13,Vermont,Sedan,4,entertain
1323,1324,62553.0,380035.0,Govt,38,1,38,Ontario,SUV,3,consume
1324,1325,79488.0,365818.0,Services,48,6,11,Maine,Sedan,3,entertain
1325,1326,121862.0,508211.0,Tech,54,4,5,Rhode Island,LuxurySedan,5,consume
1326,1327,51512.0,480010.0,Govt,31,3,14,Rhode Island,Pickup,6,entertain
1327,1328,93882.0,476006.0,Services,46,4,12,Quebec,Pickup,4,consume
1328,1329,59187.0,484899.0,Services,39,3,14,Maine,SUV,4,consume
1329,1330,122542.0,489773.0,Finance,44,4,9,Quebec,,7,consume
1330,1331,83913.0,385585.0,Other,48,1,48,New York,SUV,3,entertain
1331,1332,109847.0,562500.0,Other,40,1,40,Connecticut,SUV,5,entertain
1332,1333,104106.0,567059.0,Govt,38,6,13,New Hampshire,,2,consume
1333,1334,93109.0,487616.0,Education,48,4,18,Maine,Pickup,4,entertain
1334,1335,89071.0,387826.0,Finance,44,4,17,Maine,LuxurySedan,2,entertain
1335,1336,78773.0,499374.0,Education,38,4,11,Maine,Sedan,5,entertain
1336,1337,99228.0,503926.0,Govt,49,6,12,New York,SUV,3,entertain
1337,1338,47476.0,403616.0,Govt,34,4,6,Maine,Sedan,1,entertain
1338,1339,123176.0,534556.0,Govt,52,5,21,US_Other,Sedan,2,consume
1339,1340,119914.0,433857.0,Tech,49,3,12,New Hampshire,SUV,5,entertain
1340,1341,108834.0,523583.0,Services,43,5,12,Maine,SUV,7,consume
1341,1342,51321.0,428295.0,Govt,38,1,38,US_Other,Pickup,5,consume
1342,1343,69565.0,496388.0,Services,51,2,16,Maine,Pickup,0,entertain
1343,1344,114798.0,517058.0,Tech,43,2,8,Massachusetts,SUV,4,consume
1344,1345,110411.0,492878.0,Finance,45,5,9,Maine,Sedan,4,entertain
1345,1346,100838.0,493427.0,Education,45,3,13,Maine,Pickup,5,entertain
1346,1347,91004.0,528254.0,Govt,53,2,18,New Hampshire,Compact/Hybrid,3,consume
1347,1348,99741.0,497898.0,Govt,48,7,12,Rhode Island,Sedan,3,entertain
1348,1349,68006.0,377068.0,Govt,36,4,20,Maine,Pickup,5,consume
1349,1350,80217.0,437826.0,Govt,34,6,14,Maine,Pickup,4,entertain
1350,1351,89915.0,459325.0,Finance,43,7,12,New York,Sedan,2,entertain
1351,1352,85959.0,500248.0,Services,39,6,18,Maine,SUV,4,entertain
1352,1353,75948.0,451155.0,Govt,35,4,1,US_Other,Compact/Hybrid,5,entertain
1353,1354,94041.0,552415.0,Manufacturing,48,6,17,Maine,Pickup,5,entertain
1354,1355,83174.0,484373.0,Services,48,4,16,Maine,SUV,4,entertain
1355,1356,94028.0,389232.0,Finance,60,4,16,Maine,LuxurySedan,2,consume
1356,1357,57297.0,411160.0,Govt,40,4,12,Quebec,Sedan,0,consume
1357,1358,100229.0,416597.0,Tech,45,3,17,Massachusetts,LuxurySedan,2,entertain
1358,1359,111137.0,365597.0,Finance,41,6,15,New York,SUV,7,entertain
1359,1360,98207.0,460416.0,Govt,44,5,16,Maine,SUV,6,entertain
1360,1361,112473.0,511658.0,Tech,43,5,11,Maine,LuxurySedan,6,entertain
1361,1362,80450.0,394203.0,Finance,49,5,9,Ontario,Sedan,2,entertain
1362,1363,90680.0,471998.0,Govt,47,6,14,Maine,LuxurySedan,6,entertain
1363,1364,107606.0,551538.0,Services,35,6,9,Rhode Island,LuxurySedan,2,entertain
1364,1365,104474.0,519426.0,Govt,40,4,13,Maine,LuxurySedan,7,consume
1365,1366,105883.0,495642.0,Govt,43,5,15,New York,Sedan,4,consume
1366,1367,56407.0,420198.0,Govt,49,4,14,Rhode Island,LuxurySedan,3,entertain
1367,1368,109402.0,494558.0,Finance,45,4,13,Maine,SUV,4,entertain
1368,1369,139211.0,480125.0,Tech,40,2,11,Maine,LuxurySedan,2,consume
1369,1370,81260.0,394926.0,Govt,42,5,11,Vermont,Sedan,5,entertain
1370,1371,51233.0,337256.0,Services,46,6,17,Maine,SUV,3,entertain
1371,1372,56787.0,528680.0,Govt,48,6,15,Maine,LuxurySedan,8,consume
1372,1373,91345.0,444422.0,Services,46,2,18,New Hampshire,Compact/Hybrid,3,entertain
1373,1374,102944.0,463564.0,Services,39,9,12,Vermont,LuxurySedan,4,entertain
1374,1375,51615.0,421891.0,Govt,42,2,4,Massachusetts,Sedan,1,consume
1375,1376,41922.0,341612.0,Govt,40,2,10,Quebec,Compact/Hybrid,2,consume
1376,1377,49488.0,311009.0,Services,40,1,40,New Hampshire,SUV,3,entertain
1377,1378,94789.0,480230.0,Finance,51,3,21,Vermont,Compact/Hybrid,0,consume
1378,1379,94870.0,536716.0,Education,52,4,15,Massachusetts,Pickup,5,entertain
1379,1380,108865.0,504205.0,Tech,53,7,21,Maine,Sedan,4,entertain
1380,1381,102087.0,487491.0,Finance,46,8,12,Maine,Sedan,5,consume
1381,1382,75494.0,347048.0,Finance,46,6,9,Maine,Pickup,5,consume
1382,1383,99291.0,523046.0,Education,47,5,19,Maine,SUV,2,entertain
1383,1384,138527.0,522167.0,Tech,43,6,19,Ontario,SUV,3,entertain
1384,1385,79764.0,636327.0,Govt,45,5,18,Maine,LuxurySedan,7,entertain
1385,1386,70793.0,446627.0,Education,56,4,18,Massachusetts,Pickup,5,consume
1386,1387,116144.0,465152.0,Finance,51,6,17,US_Other,SUV,4,consume
1387,1388,87008.0,495141.0,Services,40,3,13,Maine,Pickup,6,entertain
1388,1389,110398.0,481028.0,Tech,45,8,11,Massachusetts,Sedan,4,entertain
1389,1390,165567.0,654063.0,Tech,37,3,15,US_Other,LuxurySedan,3,consume
1390,1391,104753.0,525337.0,Services,50,7,13,Vermont,SUV,5,entertain
1391,1392,76088.0,419056.0,Finance,39,5,10,Ontario,SUV,4,entertain
1392,1393,93037.0,543382.0,Govt,46,5,14,Rhode Island,Pickup,1,entertain
1393,1394,93283.0,509632.0,Services,35,6,21,US_Other,SUV,0,entertain
1394,1395,43230.0,373077.0,Education,46,6,14,Maine,Compact/Hybrid,6,entertain
1395,1396,131752.0,585414.0,Services,44,6,15,New Hampshire,Pickup,5,consume
1396,1397,46793.0,450749.0,Govt,50,3,15,Maine,SUV,6,entertain
1397,1398,83816.0,502188.0,Services,31,2,12,Quebec,Compact/Hybrid,4,consume
1398,1399,97793.0,527952.0,Education,48,4,13,New Hampshire,Sedan,4,entertain
1399,1400,102464.0,530135.0,Tech,38,7,11,Rhode Island,LuxurySedan,5,entertain
1400,1401,112418.0,562263.0,Finance,41,6,15,Ontario,Pickup,2,consume
1401,1402,69283.0,458345.0,Education,47,6,13,New York,Compact/Hybrid,6,entertain
1402,1403,111998.0,571349.0,Education,39,7,10,New York,LuxurySedan,2,entertain
1403,1404,73400.0,330546.0,Other,47,1,47,Maine,,1,entertain
1404,1405,87490.0,545036.0,Manufacturing,55,2,19,New Hampshire,LuxurySedan,0,consume
1405,1406,92052.0,410065.0,Tech,52,5,7,Maine,LuxurySedan,7,consume
1406,1407,130156.0,600351.0,Govt,55,4,14,New Hampshire,SUV,1,consume
1407,1408,95542.0,535592.0,Govt,49,4,7,Maine,Pickup,6,entertain
1408,1409,53481.0,417009.0,Education,44,5,14,Quebec,SUV,7,entertain
1409,1410,74613.0,468418.0,Govt,55,2,19,Maine,Sedan,6,consume
1410,1411,28655.0,410077.0,Govt,42,7,13,Vermont,,2,entertain
1411,1412,91006.0,483014.0,Services,39,4,10,New Hampshire,LuxurySedan,1,entertain
1412,1413,78649.0,577854.0,Govt,45,6,11,New Hampshire,Compact/Hybrid,4,consume
1413,1414,135670.0,652935.0,Services,44,2,23,Vermont,SUV,5,consume
1414,1415,54161.0,443926.0,Govt,46,6,12,Maine,Pickup,4,consume
1415,1416,96169.0,429369.0,Finance,43,4,13,New Hampshire,SUV,7,consume
1416,1417,71593.0,457492.0,Govt,40,1,40,Rhode Island,Compact/Hybrid,3,consume
1417,1418,86177.0,457965.0,Services,44,7,12,New Hampshire,LuxurySedan,3,entertain
1418,1419,94840.0,466830.0,Govt,53,2,15,Rhode Island,SUV,5,consume
1419,1420,27478.0,387545.0,Govt,41,1,41,Maine,SUV,2,entertain
1420,1421,78115.0,561176.0,Finance,46,5,9,Maine,SUV,3,entertain
1421,1422,67706.0,383017.0,Tech,51,2,11,New Hampshire,LuxurySedan,3,consume
1422,1423,153187.0,527323.0,Tech,46,5,15,Maine,Sedan,4,consume
1423,1424,86527.0,425007.0,Finance,35,7,8,Maine,Sedan,9,entertain
1424,1425,89461.0,461082.0,Finance,47,5,11,Connecticut,SUV,5,consume
1425,1426,121132.0,475847.0,Finance,53,5,17,Massachusetts,LuxurySedan,2,entertain
1426,1427,81598.0,396128.0,Tech,45,4,4,Massachusetts,Sedan,6,entertain
1427,1428,73079.0,452126.0,Education,48,7,19,Maine,LuxurySedan,4,entertain
1428,1429,115250.0,466166.0,Tech,52,5,9,Maine,SUV,2,entertain
1429,1430,104431.0,491998.0,Services,51,5,15,Rhode Island,Sedan,3,entertain
1430,1431,101149.0,468290.0,Other,42,5,17,Quebec,Sedan,3,entertain
1431,1432,66855.0,360555.0,Education,42,2,18,Ontario,LuxurySedan,2,entertain
1432,1433,94613.0,360171.0,Finance,45,5,16,New Hampshire,SUV,4,entertain
1433,1434,68523.0,437375.0,Govt,50,1,50,Vermont,LuxurySedan,6,consume
1434,1435,104813.0,424244.0,Manufacturing,55,4,14,Maine,Pickup,2,entertain
1435,1436,104562.0,509701.0,Education,42,4,13,US_Other,Pickup,5,entertain
1436,1437,96001.0,515328.0,Education,49,5,14,Vermont,Pickup,3,entertain
1437,1438,74697.0,455135.0,Other,36,6,7,Maine,LuxurySedan,5,entertain
1438,1439,128079.0,505771.0,Tech,46,3,7,Maine,SUV,4,consume
1439,1440,121773.0,545953.0,Govt,45,5,11,New York,Sedan,3,entertain
1440,1441,43363.0,322596.0,Services,45,4,13,Vermont,SUV,6,entertain
1441,1442,62226.0,519957.0,Govt,38,5,16,Quebec,SUV,3,consume
1442,1443,98399.0,429645.0,Services,39,5,12,Maine,SUV,2,entertain
1443,1444,85135.0,482545.0,Education,41,3,21,US_Other,Sedan,5,entertain
1444,1445,122618.0,440984.0,Tech,46,7,7,Vermont,SUV,4,entertain
1445,1446,84258.0,386736.0,Finance,46,5,13,Maine,SUV,4,consume
1446,1447,83708.0,489415.0,Education,39,5,11,New Hampshire,SUV,3,entertain
1447,1448,52818.0,362420.0,Govt,46,8,14,Massachusetts,SUV,8,consume
1448,1449,84146.0,453448.0,Education,45,3,12,Maine,SUV,4,entertain
1449,1450,126704.0,524709.0,Finance,55,5,11,Maine,Pickup,5,consume
1450,1451,123646.0,635477.0,Finance,47,3,17,New York,SUV,4,consume
1451,1452,110269.0,544240.0,Education,46,7,14,Maine,LuxurySedan,3,entertain
1452,1453,81699.0,443223.0,Manufacturing,50,5,20,New Hampshire,LuxurySedan,4,consume
1453,1454,99605.0,686553.0,Govt,41,5,12,Maine,SUV,6,consume
1454,1455,112691.0,438342.0,Finance,41,4,16,Ontario,Sedan,3,consume
1455,1456,110557.0,419617.0,Finance,51,2,16,New York,LuxurySedan,3,consume
1456,1457,92793.0,434078.0,Finance,46,5,12,US_Other,LuxurySedan,5,consume
1457,1458,104514.0,406254.0,Finance,38,5,15,Maine,LuxurySedan,5,consume
1458,1459,122867.0,547976.0,Finance,43,6,11,Maine,SUV,5,entertain
1459,1460,43195.0,322326.0,Govt,44,5,21,Vermont,SUV,4,consume
1460,1461,97407.0,435450.0,Tech,38,9,10,Quebec,Sedan,7,consume
1461,1462,135561.0,573964.0,Services,44,6,18,Quebec,Sedan,5,consume
1462,1463,75206.0,476304.0,Services,40,4,12,Maine,SUV,3,entertain
1463,1464,103169.0,439104.0,Services,50,5,7,Vermont,Sedan,4,entertain
1464,1465,85859.0,428766.0,Services,39,6,14,Ontario,SUV,2,entertain
1465,1466,94963.0,539312.0,Tech,43,5,12,Can_Other,SUV,4,entertain
1466,1467,90022.0,416636.0,Tech,45,6,5,Maine,LuxurySedan,4,entertain
1467,1468,66328.0,501384.0,Services,55,2,18,New Hampshire,SUV,5,entertain
1468,1469,58719.0,400005.0,Govt,45,3,14,Maine,SUV,5,entertain
1469,1470,98286.0,530226.0,Manufacturing,43,3,20,Vermont,LuxurySedan,3,consume
1470,1471,16168.0,348238.0,Govt,51,7,9,Vermont,SUV,4,consume
1471,1472,110228.0,411137.0,Finance,45,4,14,Vermont,,5,consume
1472,1473,88015.0,380684.0,Tech,44,5,14,Vermont,LuxurySedan,5,entertain
1473,1474,102257.0,507634.0,Education,51,5,13,Quebec,Sedan,1,consume
1474,1475,50104.0,444986.0,Govt,42,4,13,Vermont,SUV,6,consume
1475,1476,77730.0,522673.0,Govt,45,8,8,New Hampshire,,1,consume
1476,1477,30694.0,392409.0,Govt,45,5,14,Rhode Island,Compact/Hybrid,4,consume
1477,1478,90787.0,482512.0,Services,35,1,35,Vermont,LuxurySedan,2,consume
1478,1479,76901.0,485737.0,Services,38,5,17,US_Other,,3,entertain
1479,1480,95346.0,479933.0,Finance,43,4,10,Quebec,SUV,5,entertain
1480,1481,99725.0,559213.0,Govt,50,5,10,Quebec,Compact/Hybrid,2,entertain
1481,1482,74012.0,478298.0,Services,36,4,17,Maine,SUV,2,entertain
1482,1483,119797.0,544217.0,Govt,43,8,12,New Hampshire,LuxurySedan,2,entertain
1483,1484,97526.0,502106.0,Tech,49,3,8,Maine,Sedan,3,entertain
1484,1485,78983.0,481874.0,Govt,44,7,14,Ontario,SUV,6,consume
1485,1486,115839.0,519149.0,Finance,43,4,12,New Hampshire,Sedan,3,consume
1486,1487,99288.0,477186.0,Finance,53,8,12,Can_Other,SUV,6,consume
1487,1488,63728.0,381525.0,Manufacturing,46,4,16,Massachusetts,SUV,6,consume
1488,1489,76196.0,425335.0,Education,43,2,16,Maine,Sedan,6,entertain
1489,1490,44303.0,408303.0,Education,49,3,14,Maine,SUV,2,entertain
1490,1491,120494.0,480766.0,Tech,49,6,12,Maine,LuxurySedan,6,entertain
1491,1492,71003.0,443092.0,Manufacturing,54,2,18,New Hampshire,Sedan,5,consume
1492,1493,100016.0,578027.0,Govt,46,5,13,New York,SUV,3,entertain
1493,1494,107322.0,497397.0,Finance,46,5,17,Maine,Sedan,4,consume
1494,1495,85194.0,352337.0,Other,46,5,20,Maine,Sedan,2,consume
1495,1496,56985.0,451527.0,Govt,50,6,7,Maine,Sedan,3,entertain
1496,1497,70036.0,493619.0,Govt,49,3,9,Maine,SUV,2,entertain
1497,1498,74249.0,468945.0,Education,52,3,16,Maine,Compact/Hybrid,6,entertain
1498,1499,90107.0,532343.0,Other,54,7,11,Maine,SUV,7,entertain
1499,1500,105666.0,539363.0,Finance,46,8,17,New Hampshire,SUV,3,entertain
1500,1501,71032.0,430097.0,Services,43,5,12,Maine,SUV,6,entertain
1501,1502,95372.0,420277.0,Tech,38,5,12,Ontario,LuxurySedan,7,entertain
1502,1503,142807.0,493297.0,Tech,42,6,5,Maine,Sedan,4,consume
1503,1504,103663.0,461185.0,Tech,47,4,12,Maine,SUV,5,consume
1504,1505,48129.0,450384.0,Govt,41,3,14,Maine,LuxurySedan,4,entertain
1505,1506,64234.0,414175.0,Govt,42,4,6,Maine,SUV,5,entertain
1506,1507,64451.0,441556.0,Govt,44,2,18,Vermont,LuxurySedan,4,entertain
1507,1508,57582.0,430845.0,Services,45,4,19,New Hampshire,SUV,3,entertain
1508,1509,83545.0,509191.0,Education,48,5,18,Rhode Island,Sedan,3,consume
1509,1510,109403.0,480525.0,Govt,46,3,22,Maine,Sedan,6,consume
1510,1511,80153.0,416424.0,Education,49,5,13,Maine,,2,entertain
1511,1512,128909.0,522470.0,Finance,45,1,45,Vermont,Compact/Hybrid,5,entertain
1512,1513,59759.0,534461.0,Education,49,7,12,Ontario,Sedan,8,entertain
1513,1514,139890.0,517656.0,Services,44,6,10,Rhode Island,LuxurySedan,4,entertain
1514,1515,76605.0,526466.0,Govt,47,4,14,Maine,LuxurySedan,2,consume
1515,1516,114991.0,528478.0,Finance,50,3,12,Maine,,1,entertain
1516,1517,56844.0,432163.0,Govt,57,5,17,New York,SUV,5,consume
1517,1518,115726.0,502149.0,Finance,53,1,53,Maine,Pickup,1,consume
1518,1519,97683.0,416514.0,Finance,48,5,17,Quebec,Sedan,5,entertain
1519,1520,53534.0,471406.0,Govt,47,6,14,New Hampshire,LuxurySedan,4,consume
1520,1521,113837.0,491552.0,Education,50,6,14,Maine,Pickup,1,entertain
1521,1522,99658.0,432795.0,Tech,51,2,13,US_Other,Sedan,2,entertain
1522,1523,92980.0,435099.0,Services,53,4,16,New Hampshire,SUV,1,consume
1523,1524,79484.0,536545.0,Govt,54,5,12,New Hampshire,SUV,4,consume
1524,1525,112706.0,536763.0,Tech,46,7,11,Maine,Pickup,2,entertain
1525,1526,76482.0,475202.0,Finance,44,1,20,New Hampshire,Compact/Hybrid,7,entertain
1526,1527,75142.0,571743.0,Manufacturing,53,2,15,New Hampshire,Compact/Hybrid,3,consume
1527,1528,112591.0,441163.0,Finance,42,4,14,US_Other,SUV,5,consume
1528,1529,86069.0,480085.0,Other,46,4,17,Connecticut,Sedan,3,consume
1529,1530,93874.0,432886.0,Services,55,3,12,US_Other,Sedan,7,entertain
1530,1531,100387.0,530640.0,Services,42,5,20,Maine,SUV,6,entertain
1531,1532,87558.0,361155.0,Education,38,5,15,Maine,Sedan,2,consume
1532,1533,85861.0,435231.0,Services,47,3,12,New York,Compact/Hybrid,5,entertain
1533,1534,86668.0,373593.0,Tech,43,6,10,Massachusetts,SUV,7,entertain
1534,1535,92009.0,541384.0,Govt,43,5,13,Ontario,,3,consume
1535,1536,90965.0,452657.0,Education,37,5,13,Maine,Pickup,5,entertain
1536,1537,46810.0,356215.0,Govt,45,3,6,Maine,SUV,1,consume
1537,1538,70643.0,420433.0,Govt,49,1,14,New Hampshire,SUV,3,consume
1538,1539,55562.0,372383.0,Services,42,5,12,New Hampshire,Pickup,2,entertain
1539,1540,69867.0,478353.0,Services,43,6,15,Maine,Compact/Hybrid,1,entertain
1540,1541,67786.0,529225.0,Services,45,8,20,Maine,SUV,4,entertain
1541,1542,113652.0,408477.0,Tech,39,3,14,Quebec,Sedan,2,consume
1542,1543,94742.0,348114.0,Finance,39,4,9,New York,SUV,4,consume
1543,1544,67438.0,415302.0,Govt,41,4,16,Maine,Pickup,4,consume
1544,1545,87714.0,317640.0,Finance,51,5,6,Maine,LuxurySedan,8,entertain
1545,1546,68448.0,505069.0,Services,46,7,14,Maine,Sedan,3,entertain
1546,1547,118733.0,488382.0,Tech,42,8,11,New Hampshire,Sedan,8,entertain
1547,1548,138915.0,429863.0,Finance,44,2,13,Maine,Sedan,3,consume
1548,1549,102417.0,445544.0,Manufacturing,41,1,41,Maine,Sedan,5,entertain
1549,1550,74871.0,406125.0,Education,48,1,48,Maine,LuxurySedan,3,entertain
1550,1551,97067.0,484020.0,Services,50,6,2,Ontario,Sedan,6,entertain
1551,1552,99439.0,447119.0,Finance,47,5,17,New York,SUV,6,entertain
1552,1553,80134.0,474758.0,Govt,43,4,9,Massachusetts,LuxurySedan,5,consume
1553,1554,99246.0,538227.0,Govt,46,4,17,Vermont,SUV,4,consume
1554,1555,81736.0,315743.0,Finance,45,4,14,Maine,Pickup,2,consume
1555,1556,103898.0,584651.0,Services,42,7,12,Quebec,Sedan,4,entertain
1556,1557,73558.0,319721.0,Tech,50,3,15,Vermont,,2,consume
1557,1558,138605.0,452848.0,Finance,40,6,6,Maine,SUV,4,entertain
1558,1559,103722.0,521897.0,Services,43,5,12,Maine,Sedan,6,entertain
1559,1560,127378.0,452395.0,Tech,45,8,13,Maine,LuxurySedan,5,consume
1560,1561,129799.0,610743.0,Govt,47,6,12,Maine,Sedan,2,entertain
1561,1562,86293.0,525087.0,Govt,55,6,15,Vermont,SUV,3,consume
1562,1563,107473.0,498885.0,Finance,37,6,8,New Hampshire,Sedan,1,entertain
1563,1564,109381.0,420258.0,Tech,45,6,10,Maine,SUV,7,consume
1564,1565,109244.0,536330.0,Govt,39,6,12,New Hampshire,Sedan,1,entertain
1565,1566,75165.0,372117.0,Services,47,5,13,New York,Compact/Hybrid,1,entertain
1566,1567,93850.0,567423.0,Govt,40,3,10,New Hampshire,SUV,3,entertain
1567,1568,78258.0,503590.0,Education,49,9,13,Maine,Compact/Hybrid,4,consume
1568,1569,96096.0,495099.0,Govt,44,4,14,Maine,LuxurySedan,4,consume
1569,1570,94880.0,549075.0,Services,38,5,19,Maine,Sedan,4,consume
1570,1571,99717.0,386674.0,Tech,40,7,13,Vermont,Compact/Hybrid,7,consume
1571,1572,146501.0,479516.0,Finance,45,6,13,Rhode Island,Pickup,5,entertain
1572,1573,74751.0,412079.0,Govt,48,6,10,US_Other,SUV,6,consume
1573,1574,51133.0,396724.0,Govt,48,2,13,Massachusetts,Pickup,1,entertain
1574,1575,93003.0,515553.0,Services,48,3,17,Maine,SUV,5,consume
1575,1576,69499.0,437768.0,Manufacturing,37,5,9,Maine,Compact/Hybrid,5,entertain
1576,1577,76042.0,362806.0,Tech,37,9,8,New Hampshire,SUV,8,entertain
1577,1578,119498.0,502689.0,Tech,47,6,12,Maine,SUV,7,entertain
1578,1579,117656.0,490835.0,Finance,55,2,18,Maine,SUV,7,consume
1579,1580,107140.0,439204.0,Govt,50,5,15,Quebec,Sedan,1,consume
1580,1581,114576.0,526567.0,Education,43,6,20,Maine,Sedan,3,consume
1581,1582,86828.0,445112.0,Education,46,4,14,Ontario,Sedan,6,consume
1582,1583,103838.0,580835.0,Govt,44,1,44,Maine,LuxurySedan,7,consume
1583,1584,83870.0,427857.0,Services,42,3,16,Quebec,SUV,0,entertain
1584,1585,96967.0,356235.0,Tech,41,3,16,Maine,SUV,5,entertain
1585,1586,79562.0,465982.0,Govt,46,5,15,Maine,SUV,4,consume
1586,1587,70060.0,425642.0,Govt,50,4,18,Quebec,SUV,2,consume
1587,1588,110586.0,445793.0,Finance,42,3,11,New Hampshire,,6,consume
1588,1589,76765.0,383423.0,Finance,49,2,12,Maine,Sedan,5,consume
1589,1590,116970.0,452327.0,Finance,50,3,10,Maine,Compact/Hybrid,7,consume
1590,1591,71714.0,393590.0,Govt,62,1,62,Maine,Pickup,5,consume
1591,1592,64239.0,399339.0,Govt,42,4,13,Maine,SUV,5,entertain
1592,1593,113185.0,570817.0,Manufacturing,41,4,19,Vermont,Sedan,2,consume
1593,1594,105044.0,448737.0,Finance,49,1,49,Maine,SUV,5,consume
1594,1595,103540.0,473370.0,Govt,46,3,18,Maine,LuxurySedan,6,consume
1595,1596,143871.0,518478.0,Finance,43,7,15,Maine,Compact/Hybrid,4,consume
1596,1597,109146.0,443302.0,Tech,53,4,13,New Hampshire,Sedan,2,consume
1597,1598,105737.0,553191.0,Services,40,7,12,Maine,Sedan,4,entertain
1598,1599,146907.0,641801.0,Tech,37,4,10,Maine,Sedan,3,consume
1599,1600,72386.0,419835.0,Govt,44,5,18,New Hampshire,SUV,1,consume
1600,1601,130962.0,482570.0,Finance,48,5,14,Vermont,SUV,1,consume
1601,1602,127522.0,682423.0,Govt,46,5,12,Maine,SUV,3,entertain
1602,1603,69804.0,466179.0,Govt,48,5,12,Maine,SUV,2,consume
1603,1604,83444.0,396997.0,Services,46,7,13,New York,Sedan,7,consume
1604,1605,75011.0,394899.0,Services,41,4,14,Maine,SUV,6,entertain
1605,1606,62571.0,511221.0,Education,42,4,14,Maine,Compact/Hybrid,6,entertain
1606,1607,76823.0,466410.0,Govt,44,4,11,Maine,SUV,3,consume
1607,1608,119102.0,501631.0,Education,42,6,15,Maine,Sedan,4,entertain
1608,1609,125713.0,532445.0,Finance,44,3,13,Maine,Compact/Hybrid,4,consume
1609,1610,115958.0,602185.0,Services,52,6,19,Maine,LuxurySedan,3,entertain
1610,1611,119532.0,655789.0,Services,50,4,11,Massachusetts,Sedan,6,entertain
1611,1612,80582.0,469030.0,Govt,45,2,16,Maine,Sedan,4,consume
1612,1613,90912.0,354733.0,Finance,52,4,19,Connecticut,SUV,4,consume
1613,1614,103033.0,448750.0,Govt,57,6,15,Connecticut,Sedan,5,consume
1614,1615,69943.0,475492.0,Govt,47,5,13,New York,,7,consume
1615,1616,74677.0,433436.0,Tech,35,6,11,Quebec,Sedan,6,entertain
